noise_type,noise_level,mean_fidelity,std_fidelity,count
bitflip,0.1,0.141674062050879,0.07454305782508377,60
mixed,0.2,0.0440572980325669,0.018926750410722646,80
mixed,0.05,0.4867304481565952,0.08153430076789848,80
phase_damping,0.05,0.7146174475550652,0.06682272498065436,40
amplitude_damping,0.1,0.13922634304811557,0.08869571880848975,60
depolarizing,0.1,0.16700184841950735,0.06340789764427267,30
amplitude_damping,0.05,0.41843371850748856,0.10929359566557412,60
amplitude_damping,0.15,0.05114646026243766,0.0260185927714782,30
phase_damping,0.15,0.4971221590042114,0.12159190667198835,50
phase_damping,0.1,0.6114477808986392,0.09276629098673994,70
mixed,0.1,0.20267266452312468,0.09387273329314902,50
bitflip,0.05,0.3473367641369502,0.08441782592541687,60
phase_damping,0.2,0.4329809071762221,0.12587129417300122,70
bitflip,0.15,0.057186355106532576,0.02551443473718752,50
depolarizing,0.05,0.4435341823846102,0.08319803438704775,40
bitflip,0.2,0.0395626756362617,0.010991966990217504,60
amplitude_damping,0.2,0.06093225053045899,0.14780486664024475,40
mixed,0.15,0.08341547474265099,0.03982059068282418,30
depolarizing,0.15,0.0783417645841837,0.042506703384103874,20
depolarizing,0.2,0.03854242814704776,0.012171390529830885,20
