noise_type,noise_level,mean_fidelity,std_fidelity,count
bitflip,0.2,0.03471070388332009,0.007720615457612418,60
depolarizing,0.2,0.03237910076975822,0.003920784943625294,50
amplitude_damping,0.1,0.06632217517277847,0.03421814030182754,60
bitflip,0.15,0.03956829427431027,0.013968677511919774,30
amplitude_damping,0.05,0.2914755140990019,0.08376572890038772,100
mixed,0.15,0.05509757190528843,0.022604535136885512,90
depolarizing,0.15,0.038453198298811914,0.007534881021382795,50
depolarizing,0.1,0.06635374155427728,0.02586199543211829,70
amplitude_damping,0.15,0.04494308487822612,0.02716727410188083,30
mixed,0.1,0.11629632419596116,0.04320790387015742,60
amplitude_damping,0.2,0.033921208372339605,0.008250795411372006,60
mixed,0.05,0.2807984113693237,0.061902888253998374,30
bitflip,0.05,0.15043977163732053,0.04120937668325009,20
depolarizing,0.05,0.17274545431137084,0.048460010824157435,30
mixed,0.2,0.03532599229365587,0.015043060169127494,10
bitflip,0.1,0.052256363071501256,0.014895423461003744,20
