noise_type,noise_level,mean_fidelity,std_fidelity,count
bitflip,0.2,0.03237099293619394,0.0017183852243145583,60
depolarizing,0.2,0.031688520312309267,0.0002823566958622793,50
amplitude_damping,0.1,0.0681127928197384,0.03797275317332247,60
bitflip,0.15,0.03376674689352512,0.003904432711981283,30
amplitude_damping,0.05,0.2013104060292244,0.06483786188016039,100
mixed,0.15,0.03839637782010767,0.007596635656923363,90
depolarizing,0.15,0.03297216638922691,0.0014183701234755386,50
depolarizing,0.1,0.039646976813673976,0.0069666892933217765,70
amplitude_damping,0.15,0.05477387546561659,0.042245194112810885,30
mixed,0.1,0.059721557733913265,0.01803199917503322,60
amplitude_damping,0.2,0.03314142899956399,0.026454400451203904,60
mixed,0.05,0.130142280459404,0.039150510856945285,30
bitflip,0.05,0.0710167458280921,0.019683445630054287,20
depolarizing,0.05,0.07480914642413457,0.020513075348100127,30
mixed,0.2,0.03259769640862942,0.007606435462698873,10
bitflip,0.1,0.036537750624120235,0.003867223404562444,20
